0taskID beam field RA Dec  Good noise bmaj bmin bpa
190701001 19 M0142+31 26.5419590 31.3062660 0 128.4 55.13 22.07  1.06
190701001 30 M0142+31 25.9977910 32.1198240 0 63.0 51.57 21.78  0.81
190701001 31 M0142+31 26.5503280 32.1168250 0 40.7 29.92 11.39  0.67
190701001 32 M0142+31 27.1026840 32.1114270 0 132.3 51.18 21.50  1.07
190701001 33 M0142+31 24.0573230 32.5165510 0 98.3 29.37 11.38  0.22
190701001 34 M0142+31 24.6120990 32.5220320 0 277.0 50.60 21.54  0.61
190701001 35 M0142+31 25.1670570 32.5250790 0 102.9 48.60 20.74  0.93
190701001 36 M0142+31 25.7220940 32.5256880 0 84.6 50.68 21.62  0.70
190701001 37 M0142+31 26.2771040 32.5238600 0 70.0 50.61 21.55  0.90
190701001 38 M0142+31 26.8319850 32.5195960 0 68.4 50.84 21.66  1.02
190711169 00 S2152+4114 328.1250000 41.2408330 0 31.2 21.05 11.92  0.71
190711169 01 S2152+4114 326.1336850 40.2105040 1 43.6 21.99 11.95  0.27
190711169 02 S2152+4114 326.7461080 40.2193870 1 38.7 22.28 12.25  0.54
190711169 03 S2152+4114 327.3588470 40.2250430 1 34.3 21.86 12.00  0.52
190711169 04 S2152+4114 327.9717610 40.2274680 0 37.5 20.36 11.05  0.50
190711169 05 S2152+4114 328.5847090 40.2266590 1 30.9 22.00 11.95  0.35
190711169 06 S2152+4114 329.1975530 40.2226180 1 39.7 21.99 11.95  0.39
190711169 07 S2152+4114 329.8101510 40.2153480 1 57.3 23.03 12.37  0.37
190711169 08 S2152+4114 326.4294990 40.6204350 1 46.8 22.05 12.03  0.49
190711169 09 S2152+4114 327.0458570 40.6278110 1 49.3 21.68 12.02  0.61
190711169 10 S2152+4114 327.6624660 40.6319110 1 43.8 21.71 11.99  0.45
190711169 11 S2152+4114 328.2791810 40.6327310 0 55.9 22.85 12.44  0.81
190711169 12 S2152+4114 328.8958610 40.6302710 0 53.7 21.47 11.81  0.50
190711169 13 S2152+4114 329.5123620 40.6245320 0 71.2 22.44 12.02  0.01
190711169 14 S2152+4114 330.1285420 40.6155190 0 85.7 21.52 11.77  0.55
190711169 15 S2152+4114 326.7290630 41.0297380 1 48.0 21.67 11.97  0.35
190711169 16 S2152+4114 327.3493740 41.0355600 0 47.4 21.63 12.01  0.34
190711169 17 S2152+4114 327.9698660 41.0380560 0 57.2 21.38 11.83  0.32
190711169 18 S2152+4114 328.5903940 41.0372240 0 70.5 23.29 12.79  0.34
190711169 19 S2152+4114 329.2108130 41.0330640 0 56.6 21.63 12.01  0.49
190711169 20 S2152+4114 329.8309780 41.0255810 1 58.7 21.64 12.02  0.52
190711169 21 S2152+4114 326.4084140 41.4307460 0 39.2 21.54 11.94  0.43
190711169 22 S2152+4114 327.0324330 41.4383370 1 33.3 21.55 11.96  0.44
190711169 23 S2152+4114 327.6567110 41.4425570 0 47.3 21.49 11.94  0.51
190711169 24 S2152+4114 328.2811000 41.4434010 0 56.0 21.04 11.88  0.64
190711169 25 S2152+4114 328.9054520 41.4408690 0 47.6 21.39 12.07  0.57
190711169 26 S2152+4114 329.5296180 41.4349630 0 33.5 21.46 12.03  0.50
190711169 27 S2152+4114 326.7115920 41.8401670 0 33.6 21.38 12.02  0.54
190711169 28 S2152+4114 327.3396630 41.8461570 1 30.4 21.36 12.02  0.16
190711169 29 S2152+4114 327.9679230 41.8487250 0 55.0 18.28 10.42  0.46
190711169 30 S2152+4114 328.5962210 41.8478690 1 37.0 21.64 12.06  0.38
190711169 31 S2152+4114 329.2244060 41.8435900 1 30.5 21.12 12.14  0.82
190711169 32 S2152+4114 329.8523260 41.8358910 0 78.6 21.27 12.02  0.56
190711169 33 S2152+4114 326.3867980 42.2409730 0 76.1 21.90 12.06  1.08
190711169 34 S2152+4114 327.0186700 42.2487810 0 36.1 21.01 11.78  0.19
190711169 35 S2152+4114 327.6508100 42.2531210 0 31.7 21.28 11.97  0.06
190711169 36 S2152+4114 328.2830660 42.2539890 0 61.9 21.23 12.02  0.22
190711169 37 S2152+4114 328.9152840 42.2513850 0 37.4 20.84 12.04  0.97
190711169 38 S2152+4114 329.5473090 42.2453100 0 71.0 21.85 12.63  1.19
190711169 39 S2152+4114 330.1789880 42.2357700 0 81.5 22.16 12.76  1.03
190712041 00 M1403+5324 210.8500000 53.4013890 0 32.2 17.59 12.32 -0.25
190712041 01 M1403+5324 208.3594690 52.3619440 0 40.8 18.18 12.50 -1.01
190712041 02 M1403+5324 209.1252210 52.3755710 0 42.0 18.57 12.79 -0.71
190712041 03 M1403+5324 209.8915890 52.3842490 0 35.2 18.13 12.50 -0.42
190712041 04 M1403+5324 210.6583010 52.3879700 0 38.6 16.69 11.55 -0.23
190712041 05 M1403+5324 211.4250810 52.3867290 0 40.9 18.11 12.53 -0.13
190712041 08 M1403+5324 208.7224720 52.7743600 0 43.2 18.36 12.59 -0.87
190712041 09 M1403+5324 209.4957490 52.7856810 0 32.2 18.04 12.51 -0.59
190712041 10 M1403+5324 210.2695180 52.7919740 0 34.3 18.03 12.52 -0.29
190712041 11 M1403+5324 211.0435000 52.7932320 0 58.6 18.94 13.10 -0.44
190712041 12 M1403+5324 211.8174110 52.7894560 0 129.0 17.70 12.31 -0.06
190712041 13 M1403+5324 212.5909690 52.7806480 0 95.8 31.64 22.72  0.59
190712041 14 M1403+5324 213.3638930 52.7668170 0 78.5 17.72 12.25  0.26
190712041 15 M1403+5324 209.0925350 53.1857840 0 33.8 17.95 12.53 -0.57
190712041 16 M1403+5324 209.8734190 53.1947230 0 34.5 17.95 12.53 -0.46
190712041 17 M1403+5324 210.6546660 53.1985560 0 40.0 17.70 12.35 -0.30
190712041 18 M1403+5324 211.4359850 53.1972780 0 56.8 19.38 13.45 -0.38
190712041 19 M1403+5324 212.2170870 53.1908920 0 68.5 17.94 12.55 -0.04
190712041 20 M1403+5324 212.9976810 53.1794020 0 80.3 17.95 12.53  0.04
190712041 21 M1403+5324 208.6817810 53.5844610 0 43.4 17.81 12.53 -0.65
190712041 22 M1403+5324 209.4698320 53.5961220 0 45.4 17.82 12.53 -0.38
190712041 23 M1403+5324 210.2584060 53.6026030 0 76.9 17.83 12.51 -0.34
190712041 24 M1403+5324 211.0472040 53.6039000 0 30.6 17.53 12.30 -0.32
190712041 25 M1403+5324 211.8359270 53.6000100 0 33.7 17.85 12.55 -0.14
190712041 26 M1403+5324 212.6242770 53.5909380 0 34.3 17.85 12.54 -0.08
190712041 27 M1403+5324 209.0585860 53.9960690 0 33.6 17.77 12.56 -0.70
190712041 28 M1403+5324 209.8545460 54.0052760 0 45.6 17.76 12.56 -0.50
190712041 29 M1403+5324 210.6508900 54.0092240 0 39.1 15.07 10.75 -0.33
190712041 30 M1403+5324 211.4473110 54.0079080 0 36.8 18.06 12.64 -0.22
190712041 31 M1403+5324 212.2435010 54.0013300 0 30.1 17.77 12.55 -0.04
190712041 32 M1403+5324 213.0391540 53.9894960 0 51.4 17.76 12.52  0.02
190712041 33 M1403+5324 208.6395040 54.3944660 0 64.7 18.03 12.69 -0.86
190712041 34 M1403+5324 209.4429050 54.4064750 0 39.8 17.34 12.33 -0.67
